name,cluster,subject,owner,phone,size_est,priority,maya_precall,visit_status,pilot_status,pain_notes
Lakshya Classes Udaipur,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Appx vendor=6552881203505921994 app=com.appx.lakshya_classes. 80 reviews / 25 at 1-2 star. COMPLAINT (verbatim): 1* UI and speed need to required. When I click on view pdf button sometimes ask video quality for watch. And my internet is good approx 50mbps but still load on video... And after minimizing the app w || 1* Why this app is not running in my mobile ? At the day one when I purchased the course, app was running fine but from the day 2 , the app is not opening. I reinstalled the app but still problem pers || 1* worst app ever i experienced. i have ordered model paper on 6 june today is 13 and not received papers yet and they promised to deliver in maximum 3-4 days liar app and their team.. and the contact"
Ocean Coaching Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). WEAK city match: 'Gaya' appears in reviews but is also a common Hindi word, so this proves nothing. Treat as unverified — confirm on Maps. Platform=Classplus (reseller) vendor=Ocean classes app=co.paige.lovie. 80 reviews / 34 at 1-2 star. COMPLAINT (verbatim): 1* Worst app for students it's fully paid app for download pdf and digest 🤬 || 1* tht is a very bad app all pdf file is rental no good experience || 1* Tamara app ma badha j pdf purchase kareavi pade che a kharab vat che vidhya ne bija ne mafat ma deva ni hoy che ppan tame to vidhya ne vechi rahya cho🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬 I hate your application"
Genuine Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=GenuineClasses app=co.brown.imxqz. 76 reviews / 16 at 1-2 star. COMPLAINT (verbatim): 1* Worst app for English medium students as they only provide Hindi questions papers(mock test) for science. they should atleast consider both medium..waste of money! || 1* This is a useless app, here classes are held only for hindi speaking people, nothing for english speaking people, and even for PTET mock test they took Rs 99 from me and after a few days made it Rs || 1* You had posted a post on YouTube in which it was said that we will get 25 model papers for free but there are no free model papers in the application, they are charging 150 rupees for them. 🤬🤬"
Disha Online Classes App,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=Disha Online Classes app=co.dishaonlineclasses. 80 reviews / 8 at 1-2 star. MENTIONS (verbatim): 5* I really enjoyed the online course. I thought it was well planned and layed out, easy for me to follow. The work load(h.w. u0026 test)was just enough, so i could finish everything with enough time, || 5* I really enjoyed the online course. I thought it was well planned and layed out, easy for me to follow. The work load(h.w. u0026 test) was just enough, so i could finish everything with enough time || 5* l really enjoyed the online course. I thought it was well planned and layed out, easy for me to follow. The work load(h.w. u0026 test) was just enough, so i could finish everything with enough time"
KKG Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). WEAK city match: 'Gaya' appears in reviews but is also a common Hindi word, so this proves nothing. Treat as unverified — confirm on Maps. Platform=self-built / other vendor=KKG CLASSES app=com.kkg.classes. 70 reviews / 24 at 1-2 star. COMPLAINT (verbatim): 1* scam hai ye ek kuch notes nhi mile ka only 3 ya 4 chapter hi ek saal ke hoga daily class nhi hota hai fail kar jaoo ge"
Gyansindhu Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). WEAK city match: 'Gaya' appears in reviews but is also a common Hindi word, so this proves nothing. Treat as unverified — confirm on Maps. Platform=white-label (unknown vendor) vendor=Arunesh Sir app=com.dynqhy.zwtaqf. 80 reviews / 4 at 1-2 star. COMPLAINT (verbatim): 1* Very bad app no pdf download option nothing good in it"
Galaxy Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=Vision ITLabs app=in.vision.galaxyclasses.app. 60 reviews / 10 at 1-2 star. COMPLAINT (verbatim): 1* test paper to karwate pr uska solution ni dete na hi solve karwate || 3* speed test me bad me ans nahi show krte h"
JG&#39;s-Online Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=5513471059561743122 app=com.iasjnana.app. 14 reviews / 4 at 1-2 star. COMPLAINT (verbatim): 1* Scammers group make app. They steal your money by sending defective packages of test series or other things. || 1* All class heavy amount but test series is not good"
Gaur Classes,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=Classplus (reseller) vendor=Gaur Classes app=co.martin.xkczr. 60 reviews / 5 at 1-2 star. COMPLAINT (verbatim): 1* This is not not not good because i am complain. Ihave not money for purchase sample paper So they can banned my id they not take request to give sample paper in free I can't give more then 1 star b"
CLASSIC CLASSES,,,,,,3,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). !! CITY UNVERIFIED — Gaya appears in neither the app name nor any review. Could be another state entirely (a 'Gaya' sweep surfaced Kavya Classes *Guna*, MP). CONFIRM ON MAPS BEFORE TRAVEL. Platform=self-built / other vendor=Ankul Sir English Classes app=com.aseclive. 80 reviews / 10 at 1-2 star. MENTIONS (verbatim): 5* Anyone willing to prepare for a competitive exam and score maximum marks in the English section must download this app and study the contents provided by Sir. This is an amazing app with extremely "
