priority,call_status,institute,phone,segment,acharya_match,area,rating,reviews,website,already_worked_by_rohan
A001,,Alliant Academy,9709795038,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sri Krishna Puri,5,134,https://www.alliantacademy.com/,
A002,,Future Scholars Classes,7545863013,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kankarbagh,4.9,142,https://www.futurescholars.in/,
A003,,SARVOTTAM BIOLOGY By Dr. Prabhat Ranjan,9199356307,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Bahadurpur,5,131,,
A004,,Patna Home Tuition,9234346609,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Lohia Nagar,5,119,https://www.patnahometuition.com/,
A005,,AIEFA,8252003344,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Ghrounda,4.7,143,http://www.aiefa.org/,
A006,,Truly Mentor Academy,9934703020,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Danapur,5,115,https://www.trulymentoracademy.com/,
A007,,"SHIKHA COACHING CLASSES 8th,9th,10th(CBSE & ICSE)",9631855886,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Sri Krishna Puri,4.9,123,http://www.sltutorial.com/,
A008,,MBA Mastermind,7463953117,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.8,131,,
A009,,EXCELLENT TUTORIALS,9304510112,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Lohia Nagar,4.7,135,http://eticsecbse.com/,
A010,,PRAKASHAM INSTITUTE,7717790181,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sipara,5,110,https://www.facebook.com/prakasam4yourfuture/,
A011,,Yatharth Classes,9102777498,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Rajeev Nagar,4.9,116,,
A012,,QUARKS CLASSES,9079809022,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Danapur,4.8,123,https://quarks-classes.com/?utm_source=gmb&utm_medium=referr,
A013,,Pragati Coaching Classes,9386675459,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rajendra Nagar,4.9,115,,
A014,,KV ACADEMY B.E,9966648277,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),,4.9,112,,
A015,,Enable Home Tuition Center,7667115745,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rajendra Nagar,4.7,125,http://www.enabletutor.com/,
A016,,Success Home Tuition,9835411444,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Sri Krishna Puri,4.5,140,https://hometuitioninpatna.in/,
A017,,SBM,9608586341,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Khajpura,4.6,132,,
A018,,Dhruva Academy,9065413935,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Rukanpura,4.9,107,http://www.dhruvaacademy.in/,
A019,,Tuition Walla No. 1 Patna,7079070421,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Anisabad,4.9,103,https://www.tuitionwallah.org/,
A020,,Climax Institute,9431432606,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Bankman Colony,4.4,143,http://climaxinstitute.in/,
A021,,Kumar Learning,9142396951,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Ramkrishan Nagar,5,94,http://kumarlearning.in/,
A022,,Sadhana Home Tuition,9608277250,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Ghrounda,4.8,110,https://sadhana.homestuition.in/,
A023,,Sri Chaitanya Academy,7996668865,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Dhakanpura,4.4,142,https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-,
A024,,BANK PLACEMENT IN PATNA,7992328834,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Rukanpura,4.9,98,http://eduprizminfotech.com/,
A025,,DAMS Patna (Delhi Academy of Medical Sciences Pvt. Ltd.),8071737431,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Machhua Toli,4.8,104,,
A026,,Mahendra Educational Private Limited (Patna Branch),6389302432,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Koiritola,4.8,103,https://branch.mahendras.org/patna-37955/home?utm_source=GBP,
A027,,Global iit/medical academy,8676962551,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anisabad,4.5,127,https://www.globaliitmedical.com/,
A028,,Gyan,9810454771,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Patrakar Nagar,4.8,102,http://gyanvidyamandir.in/,
A029,,"Best Home tuition in patna(CBSE and ICSE, bihar board).. Onl",7762035410,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Koiritola,5,86,http://patna.homestuition.in/,
A030,,Physics for IIT JEE (Er. M.K. Thakur),7004179675,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kankarbagh,5,82,,
A031,,Practical padhai classes,8877880992,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Vivek Vihar Colony,5,82,,
A032,,Educare Home Tuition,9570421195,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Muhammadpur,4.7,106,https://g.co/kgs/SUtTf4S,
A033,,Excel Home Tuition,9942366387,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Keshri Nagar,4.9,89,,
A034,,"""Final Touch Academy"" coaching, Musallahpur Hatt patna 80000",9999694651,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Muhammadpur,4.7,105,https://www.youtube.com/@finaltouchacademypatna5197/featured,
A035,,Perfect Mathematics Classes,9155962008,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.9,88,https://www.perfectmathematicsclasses.in/,
A036,,Physics Wallah Vidyapeeth Coaching Center Patna Boring Road,8047359212,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.8,94,https://www.pw.live/offline-centres/batches/vidyapeeth/patna,
A037,,CAREER PLANNER ASHOK RAJPATH,7462980901,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Lalbagh,4.3,134,https://www.instagram.com/career_planner_ashok_rajpath/,
A038,,Motion Education Patna,9031017641,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sri Krishna Puri,4.2,137,https://patnacenter.motion.ac.in/,
A039,,ENHANCEMENT STUDY CIRCLE,9304543909,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Rajbansi Nagar,5,72,https://www.facebook.com/profile.php?id=100057621602041,
A040,,Nancy Coaching Classes,8987385362,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Mustafapur,5,70,https://patna.homestuition.in/,
A041,,Score High Institute,9264443147,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anisabad,4.9,77,https://www.scorehighinstitute.com/,
A042,,Sri Chaitanya Academy,9100499885,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Mithapur,4.3,124,https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-,
A043,,Achievers tutorials institute,9955373805,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Buddha Colony,4.9,76,,
A044,,Ram Science Centre,9570917737,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Patrakar Nagar,4.6,99,,
A045,,TuitionWaala best home tuition Provider Patna,9709705046,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Mithapur,4.8,80,https://patna.homestuition.in/,
A046,,Patna City Home Tuition.,9470646838,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),New Azimabad Colony,5,63,http://patna.homestuition.in/,
A047,,FOSTER ~ BEST HOME TUITION,9102741945,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Dujra Diara,4.9,71,,
A048,,GOVIND HOME TUITION PATNA,9534641909,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Kumhrar,4.8,77,https://govind.homestuition.in/,
A049,,Raj Rajesh Institute,9472040533,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Lohia Nagar,4.4,107,http://www.rajrajeshinstitute.com,
A050,,Rishikulam Pathshala,9835212304,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Bankman Colony,4.6,89,,
A051,,Bina Home Tuition and Consultancy,8709026018,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Keshri Nagar,4.9,65,https://www.binahometuition.com/,
A052,,Progress Home Tuition,8709327795,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anisabad,4.9,64,https://patna.homestuition.in/,
A053,,Pragati science classes,8651359636,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Muhammadpur,4.3,111,,
A054,,Saraswati Home Tuition,7631488671,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),North Sri Krishna Puri,5,55,http://www.saraswatihometuition.com/,
A055,,KK STUDY PLUS HOME TUITION,7301672598,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Indrapuri,5,51,https://patna.homestuition.in/,
A056,,Success Coaching Centre,7903831928,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Keshri Nagar,4.7,74,,
A057,,Curious Minds,7563049154,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.9,57,https://artsforcbseandbiharboard.com/,
A058,,Tuitions for Inter Eamcet Neet IIT,9032688828,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,,4.9,54,,
A059,,STUDY CARE HOME TUITION CENTRE,7739230131,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Bajrangpuri,4.9,54,https://studycare.homestuition.in/,
A060,,Udaan Home Tuition Patna,9471366960,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rajendra Nagar,4.7,70,https://udaanhometuition.in/,
A061,,Apna home tuition,7903168633,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rajeev Nagar,4.5,85,https://apnahometuition.com/,
A062,,Pragyaan Tuition Centre,8969636743,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),North Shastri Nagar,4.8,58,https://patna.homestuition.in/,
A063,,Tutor Point,8210614582,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Hajiganj,4.9,50,,
A064,,Tuition Bazaar,9939783428,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Golambar,4.9,49,,
A065,,Magadh Science Coaching,9006059235,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Rajendra Nagar,4.1,112,https://www.magadhsciencecoaching.com/,
A066,,Lifeline Home Tuition,9934985213,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Phulwari Sharif,5,39,https://lifelinehometuition.com/,
A067,,Future point patna,9135309164,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Hanuman Nagar,4.9,47,https://youtube.com/@futurepointpatna?si=hdLRLKjGcyPZC8Sv,
A068,,The Masters Academy,8603333088,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.9,47,,
A069,,Anandam Home tuition ( Ashiyana More Patna ),9334721882,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Khajpura,5,38,http://www.anandamtuition.in/,
A070,,TCH Eduserv,9234552608,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.8,54,https://tcheduserv.com/,
A071,,Sri Chaitanya Academy,9122153808,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Puram,4.9,46,https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-,
A072,,MEDJEE CLASSES (IIT,8789036568,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sipara,4.7,62,,
A073,,Kunwar Tutorial,9431621672,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rajendra Nagar,4.8,53,,
A074,,Sanjay Physics Tuitions for 9th,8247091095,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,,5,36,https://www.sanjaytuitions.com/,
A075,,Topper Home Tuition,6203364328,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Alamganj,4.8,52,https://topper.homestuition.in/,
A076,,The Prephack I CAT I CLAT I IPMAT I BANK,9534210934,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,5,35,http://www.theprephack.in/,
A077,,The Brilliant Classes // 4th to 12th,9334927462,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Rukanpura,4.8,50,https://thebrilliant.in/,
A078,,PRAYASH CAREER INSTITUTE,6200904202,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Mithapur,4.9,42,,
A079,,N K Home Tuition Patna India,9279023314,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Vikash Vihar Colony,5,32,http://patna.homestuition.in/,
A080,,Home Tuition & Academic Classes,7004711042,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Kaliket Nagar,4.9,40,https://patna.homestuition.in/,
A081,,Patna Home Tuition,8935813999,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Golambar,5,30,https://patna.homestuition.in/,
A082,,"Success Mission CET, BANK, SSC, CTET Coaching, BPSC Teacher ",9905350033,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Sri Krishna Puri,4.9,38,,
A083,,Aakash Institute,8800013152,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anisabad,4.8,44,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-,
A084,,Home Tuition Class 7th to 10th,7890719971,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Beur,5,28,https://play.google.com/store/apps/details?id=com.divija.tut,
A085,,Royal Classes (A premier coaching institute for IIT,6207791557,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Ramkrishan Nagar,4.8,43,https://jsdl.in/RSL-XJQ1743579191,
A086,,Chemistry Educare,8510895639,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anisabad,5,27,https://chemistryeducare.com/,
A087,,Clear Concept Tutorials,9852214186,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Chitragupta Nagar,4.7,51,,
A088,,Reflex Home Tuition,8271470375,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Anisabad,5,27,http://reflexhometuitionpatna.in/,
A089,,Master Learners,9599001290,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Ghrounda,5,27,https://masterlearners.in/centre/patna,
A090,,HOME TUITION IN PATNA,9431048804,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Hanuman Nagar,4.9,34,https://patna.homestuition.in/,
A091,,The Grow Tree Institute,9473470189,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Patrakar Nagar,5,26,https://thegrowtreehometuition.com/,
A092,,Best Home Tuitions In Hyderabad,8639858467,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),,4.9,34,https://myhometuitions.com/,
A093,,Bansal Classes Patna,9135699903,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Anandpuri,4.9,33,https://www.bansalpatna.com/,
A094,,Easy To Study,9798131039,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Saguna More,5,25,https://sites.google.com/view/easytostudy/home,
A095,,BYJU'S Tuition Centre,9009002000,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Danapur,4.6,55,https://byjus.com/btc/byjus-tuition-centre-rps-more-patna/?u,
A096,,Ideal Home Tuition,9608922002,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Danapur,4.8,37,https://idealhometuition.in/,
A097,,Krishna Home Tuition,8409622788,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Kidwaipuri,4.8,36,http://www.krishnahometuition.in/,
A098,,Anupama Home Tuition,9431623201,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sri Krishna Puri,3.5,133,https://www.anupamahometuition.co.in/,
A099,,Excellence Coaching,6287594791,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kidwaipuri,4.7,29,,
A100,,EduVantage Institute,7303892897,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Anandpuri,4.7,28,,
A101,,Trustudies,8709282225,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Bankman Colony,4.4,52,https://www.trustudies.com/patna-home-tuition/,
A102,,Prem Home Tuition Patna,6206746041,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Sandalpur,4.7,27,,
A103,,Puja Home Tuition,9508599408,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Rukanpura,4.6,30,https://jhimc.in/Pujaht/,
A104,,Railway Per Kabza,7903285858,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Mussalahpur Haat,4.5,32,,
A105,,Resonance Patna,9263632243,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kidwaipuri,4.1,54,https://www.resonanceedupatna.com/,
A106,,Prerna Home Tuition,9334318046,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Mithapur,3.6,58,https://prernahometuition.com/,
B107,,Tution Time Home Tuition Centre,7783835069,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Rukanpura,5,256,http://tuitiontimeglobal.com/,
B108,,GENIUS classes,7717701470,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),Chitragupta Nagar,5,248,https://geniusclassespatna.com/,
B109,,Inspiring CLUB,7909020547,SSC/Bank/Rail,SSC + Railway + Banking + BPSC/TRE,Dujra Diara,5,228,,
B110,,KC Physics Classes,6206577310,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Bankman Colony,4.9,241,,
B111,,topper guidance academy,6201881331,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Sri Krishna Puri,4.9,186,https://www.topperguidanceacademy.com/,
B112,,Focus Home Tuition,6299905280,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Gardanibagh,4.9,279,https://focushometuition.in/,
B113,,Mahavir Home Tuition,9546360134,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kankarbagh,4.9,217,https://mahavirhometuition.in/,
B114,,Vardaan Classes,7321894941,NEET/JEE,JEE + NEET (Phy/Chem/Maths/Bio) — deepest banks,Kidwaipuri,4.9,201,http://www.vardaanclasses.in/,
B115,,MAHADEV TUTORIAL,9973885013,Tuition,CBSE Class 10 + Class 12 (PCM/PCB/Commerce),North Shastri Nagar,4.9,243,http://www.mahadevtutorial.in/,
