name,phone,segment,city,rating,reviews,address,website
"MCM IIT-JEE & NEET Academy - Best Neet coaching in Patna,Best IIT-JEE coaching in Patna",917992250244,NEET/JEE,Patna,4.7,367,"AC-P-3, Road no. 5, Kendriya Vidyalaya Rd, Vidyapuri, Sachiwalay Colony, Kankarbagh, Bankman Colony, Patna, Bihar 800020",https://mcmpatna.com/
Base Point - Best NEET Coaching in Patna | Best IIT JEE Coaching in Patna | Best Science Coaching in Patna,917979919133,NEET/JEE,Patna,4.9,326,"A-66, Sachiwalay Colony, Near Dr. Alka Pandey clinic, Doctors Colony, Jogipur, Kankarbagh, Bankman Colony, Patna, Bihar 800020",http://basepoint.in/
"Bansal Classes Patna - Best IIT-JEE / NEET Coaching in Patna , Bihar",919135699903,NEET/JEE,Patna,4.9,33,"Oppt Dayal Dental Care, Bansal Building, West Boring Canal Rd, Baldwin Gali, Anandpuri, Patna, Bihar 800001",https://www.bansalpatna.com/
Delta Success Point,917903454942,NEET/JEE,Patna,4.6,133,"New Kunj Colony, near NMCH Railway Crossing, Saketpuri, Bahadurpur, Patna, Bihar 800006",
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in kankarbagh, Patna",919100499885,NEET/JEE,Patna,4.3,124,"2nd Floor, Suraj Trade Centre Between Nandan Tower &, near Krissh Hyundai, Kankarbagh Colony More, Kankarbagh, Mithapur, Patna, Bihar 800020",https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-coaching-centre-kankarbagh
Yashobhoomi Institute – Best IIT-JEE & NEET Coaching in Patna,919661267444,NEET/JEE,Patna,5,16,"Yashobhoomi Institute, behind Sant Nirankari Bhawan, near New Bus Stand, Elahibagh, Paijawa, Patna, Bihar 800007",https://yashobhoomi.net/
"Physics Wallah Vidyapeeth Coaching Center Patna Boring Road | IIT JEE, NEET & Foundation",918047359212,NEET/JEE,Patna,4.8,94,"3rd & 6th Floor, West Boring Canal Rd, Anandpuri, Patna, Bihar 800001",https://www.pw.live/offline-centres/batches/vidyapeeth/patna-br/patna---boring-road-vidyapeeth-496283
"Aakash Institute - Best NEET & IIT-JEE Coaching in Patna, Anisabad",918800013152,NEET/JEE,Patna,4.8,44,"3rd & 4th Flr, Samidha Commercial Cplx, Khagaul Rd, above KFC, New Paharpur, Police Colony, Anisabad, Patna, Bihar 800002",https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-patna-anisabad-coaching-center-anisabad-patna-505796/Home?utm_source=locator&utm_medium=googleplaces
"Vedantu Learning Centre Patna - Offline (VLC), Boring Road - JEE / NEET / Foundation",919108076572,NEET/JEE,Patna,4.8,150,"Boring Rd, Sri Krishna Puri, Patna, Bihar 800001",https://www.vedantu.com/offline-centres/patna/boring-road?utm_source=organic&utm_medium=googlemybusiness&utm_campaign=offline
SHRI MANGALAM INSTITUTE |SMI,919798273181,NEET/JEE,Patna,4.8,227,"Road, Kanti Factory Rd, near Khusi Hospital, Bahadurpur Housing Colony, Kankarbagh, Bankman Colony, Patna, Bihar 800020",http://www.smipatna.com/
MAX.WELL INSTITUTE,918540077009,NEET/JEE,Patna,4.8,191,"Langertoli Gali, near Machhuatoli, opp. fakharuddin plaza, Langar Toli, chauraha, Patna, Bihar 800004",
"Sri Chaitanya Academy - IIT JEE & NEET Coaching in Boring Road, Patna Centre",917996668865,NEET/JEE,Patna,4.4,142,"4th floor, Plot no - 134, ABC Tower, Main, Boring Rd, opposite Harihar Chambers, Nageshwar Colony, Buddha Colony, Dhakanpura, Patna, Bihar 800001",https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-coaching-centre-boringroad
Career Point,917209776677,NEET/JEE,Patna,3.7,247,"E9, P C Colony Rd, opposite Sai Lions netralay, Kankarbagh, Patna, Bihar 800020",https://careerpoint.ac.in/center/patna/contact
"ALLEN Career Institute - Kankarbagh Campus, Patna | IIT JEE, NEET & Foundation Coaching",917291970049,NEET/JEE,Patna,4,363,"Second Floor, Deoki commercial complex, Doctors Colony, Kankarbagh, Lohia Nagar, Patna, Bihar 800020",https://www.allen.ac.in/patna/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Kankarbagh_Patna
"Score High Institute - Best Coaching | NEET & IIT-JEE | Class11 | Boring Road, Patna",919264443147,NEET/JEE,Patna,4.9,77,"Chanakya Public School, B-56, opp. Chitragupt Bhawan, Police Colony, Anisabad, Patna, Bihar 800001",https://www.scorehighinstitute.com/
"Resonance Patna - Best IITJEE Coaching In Boring Road,Patna | Best NEET Coaching In Patna | Neet classes patna",919263632243,NEET/JEE,Patna,4.1,54,"4th Floor, Ashoka Tower, E Boring Canal Rd, above i Destiny, Kidwaipuri, Patna, Bihar 800001",https://www.resonanceedupatna.com/
"KC Physics Classes-Best physics coaching in Patna |best physics teacher for IIT JEE & NEET IN Kankarbagh,Patna,Bihar|",916206577310,NEET/JEE,Patna,4.9,241,"44, L-2, Kendriya Vidyalaya Rd, near Dr. Shanti Roy Resident, P.I.T Colony, Jogipur, Kankarbagh, Bankman Colony, Patna, Bihar 800020",
"Sri Chaitanya Academy - Best IIT JEE & NEET Coaching in Saguna More, Patna",919122153808,NEET/JEE,Patna,4.9,46,"Sri Chaitanya Academy – Saguna More, Center, Arya Samaj Mandir Rd, near Union Bank of India, RPS More, S. K. Puram, Patna, Bihar 801503",https://srichaitanyaacademy.net/centres/sri-chaitanya-patna-coaching-centre-sagunamore
SARVOTTAM BIOLOGY By Dr. Prabhat Ranjan | Best Biology teacher for NEET in Patna,919199356307,NEET/JEE,Patna,5,131,"NEWKUNJ COLONY, J53F+9V4, near Bazaar Samiti Road, Saketpuri, Bahadurpur, Patna, Bihar 800006",
MEDJEE CLASSES (IIT-JEE/NEET),918789036568,NEET/JEE,Patna,4.7,62,"Beside Sipara-bridge, Jayprakash Nagar, Sipara, Patna, Bihar 800001",
Rishikulam Pathshala | Best IIT JEE Coaching in Patna | Best NEET Coaching in Patna,919835212304,NEET/JEE,Patna,4.6,89,"H5X5+HR9, Sachiwalay Colony, Kankarbagh, Bankman Colony, Patna, Bihar 800020",
"Royal Classes (A premier coaching institute for IIT-JEE /NEET & +2. Also for VIII, IX, X ( CBSE/ BSEB) & I.A (ARTS)",916207791557,NEET/JEE,Patna,4.8,43,"Bhagat Singh Chouk, West Ramkrishna Nagar, Kankarbagh, Ramkrishan Nagar, Patna, Bihar 800027",https://jsdl.in/RSL-XJQ1743579191
"Vidyamandir classes, Kankarbagh Patna | IIT JEE, NEET & Foundation Classes",919534200600,NEET/JEE,Patna,4.8,315,"NMCH More, Bahadurpur, Patna, Bihar 800026",https://www.vidyamandir.com/patna/iit-jee-coaching.html
Goal Institute- Best NEET & IIT JEE Coaching in Gola Road Patna,917564902125,NEET/JEE,Patna,4.1,223,"Gola Rd, near Gyanodaya Gurukul, Nizamat, Danapur, Patna, Bihar 801503",http://www.goalinstitute.org/
topper guidance academy,916201881331,NEET/JEE,Patna,4.9,186,"L2/2, Rajesh Kumar Path, in front of krishna apartment, Sri Krishna Puri, Patna, Bihar 800001",https://www.topperguidanceacademy.com/
DAMS Patna (Delhi Academy of Medical Sciences Pvt. Ltd.),918071737431,NEET/JEE,Patna,4.8,104,"1st Floor, Vijay Bhavan, Chauraha, RK Ave, near Dinkar, Machhua Toli, Patna, Bihar 800004",
Physics Classes by IITian Santosh Kunal | best IIT JEE & NEET classes in Patna | best physics teacher in Patna,916201797870,NEET/JEE,Patna,4.8,376,"P-3, Kendriya Vidyalaya Rd, Vidyapuri, Jogipur, Kankarbagh, Bankman Colony, Patna, Bihar 800020",https://physicsbyiitiansantoshkunal.com/
ICONIC CLASSES,917903993958,NEET/JEE,Patna,4.8,223,"1st Floor, Heera Panna Complex, Sudama Bhawan, Lane, Boring Rd, opposite to AMS Park, Anandpuri, Patna, Bihar 800001",https://www.iconicclasses.in/
Motion Education Patna,919031017641,NEET/JEE,Patna,4.2,137,"4-B, Opposite Bikaner Sweets, Shri Krishna Puri, Sahdev Mahto Marg, Boring Rd, Sri Krishna Puri, Patna, Bihar 800001",https://patnacenter.motion.ac.in/
CONCEPT WALA IIT JEE NEET CLASS BY M K SINGH SIR,919031732868,NEET/JEE,Patna,5,24,"HANUMAN MARKET, Kanti Factory Rd, opp. Rajendra public school, Kankarbagh, Bankman Colony, Patna, Bihar 800020",http://conceptwala.created.app/
"Perfect Mathematics Classes-Best coaching for class 10th,11th, 12th, IIT-JEE, NDA, CUET IN Boring Road Patna",919155962008,NEET/JEE,Patna,4.9,88,"Birat Complex Between Jamuna and, Krishna apartment, Boring Rd, Anandpuri, Patna, Bihar 800001",https://www.perfectmathematicsclasses.in/
Vidyapeeth Academy(VPA),918448446676,NEET/JEE,Patna,4.1,324,"VPA- Vidyapeeth Academy 2nd Floor ,Grand Plaza Old Jakkanpur, Lodipur, Old Jakkanpur, Fraser Road Area, Patna, Bihar 800001",
Alliant Academy,919709795038,NEET/JEE,Patna,5,134,"Children's Park Rd, beside of motion education, Sri Krishna Puri, Patna, Bihar 800001",https://www.alliantacademy.com/
Global iit/medical academy,918676962551,NEET/JEE,Patna,4.5,127,"Saket Vihar More, H3JQ+P7H, Khagaul Rd, New Paharpur, Saket Vihar, Anisabad, Patna, Bihar 800002",https://www.globaliitmedical.com/
Physics for IIT JEE (Er. M.K. Thakur),917004179675,NEET/JEE,Patna,5,82,"A5, near kendriya vidyalaya, Sachiwalay Colony, Kankarbagh, Patna, Bihar 800020",
Pathshala institute,919386775489,NEET/JEE,Patna,4.7,163,"Rd Number 12, Rajendra Nagar, Patna, Bihar 800016",http://www.cpathshala.com/
Udaan Career Institute,918002888900,NEET/JEE,Patna,4.7,220,"1st Floor, Ashok Tower, E Boring Canal Rd, opposite devrani jethani, Kidwaipuri, Patna, Bihar 800001",https://udaanedu.com/
"Unacademy Coaching Centre - Patna Kankarbagh | IIT JEE, NEET & Foundation Classes",916366527043,NEET/JEE,Patna,4.2,201,"3rd Floor, J43X+C4R N P Tower, Kangkar Bagh Road, opp. Jalan Shop, Kankarbagh Colony More, Kankarbagh, Ghrounda, Patna, Bihar 800001",https://unacademy.com/goal/jee-neet-coaching/JVITK/centre/Patna-Centre/RBDRKX34JZ
Excellence Coaching,916287594791,NEET/JEE,Patna,4.7,29,"Raj Residency, Above Shivam Hotel Behind Ankur Hotel, Near Alankar Palace, Boring Rd, Kidwaipuri, Patna, Bihar 800001",
The Brilliant Classes // 4th to 12th,919334927462,NEET/JEE,Patna,4.8,50,"Ramnagri Rd, Ramnagri, Ashiana Nagar Phase 1, Rukanpura, Patna, Bihar 800025",https://thebrilliant.in/
Sarvoday Classes - Home Tuition,919263392961,NEET/JEE,Patna,5,8,"Baba Chowk, North Patel Nagar, Keshri Nagar, Patna, Bihar 800023",https://sarvodayclasses.figma.site/
Top Tutorial,918434734095,NEET/JEE,Patna,4.8,276,"H. No. - 20, A N Path, Boring Rd, Block - A, North Sri Krishna Puri, Patna, Bihar 800013",
Pragati science classes,918651359636,NEET/JEE,Patna,4.3,111,"Professor Colony Nahar Road, Shahganj Gali, near सरगम उत्सव हॉल, Musallahpur Hat, Muhammadpur, Patna, Bihar 800006",
Focus Home Tuition,916299905280,NEET/JEE,Patna,4.9,279,"ganga utsav hall, near, Janta Rd, Naya Tola, Yarpur, Gardanibagh, Patna, Bihar 800001",https://focushometuition.in/
Truly Mentor Academy,919934703020,NEET/JEE,Patna,5,115,"J29W+9CW Truly Mentor Academy, Mangalam Rd, near Manya Resort RPS, Mangalam Colony, Kaliket Nagar, Danapur, Patna, Bihar 801503",https://www.trulymentoracademy.com/
Tution Time Home Tuition Centre,917783835069,NEET/JEE,Patna,5,256,"2/22, Jagdeo Path, near Pillar no 7, Jyotipuram Colony, SBI colony, Rukanpura, Patna, Bihar 800014",http://tuitiontimeglobal.com/
A. K. Science Tutorial,919431045413,NEET/JEE,Patna,4.8,353,"107, Sukriti Apartment, South P, SP Verma Rd, Old Jakkanpur, Lodipur, Patna, Bihar 800001",https://patna.homestuition.in/
Magadh Science Coaching- Best Coaching for Class 11th & 12th in Patna | Top Coaching for IIT-JEE & NEET in Patna,919006059235,NEET/JEE,Patna,4.1,112,"Rd Number 13A, Bazar Samiti, Rajendra Nagar, Patna, Bihar 800016",https://www.magadhsciencecoaching.com/
