id,institute,city,phone,exam_focus,stage,wave,priority_note
1,MCM IIT-JEE & NEET Academy,Patna,917992250244,IIT-JEE+NEET,demo_pending,W1,"WARM — was Q5 on Day-0 Patna list; now Maya-accepted. Call first."
2,Catalyzers Institute,Kota,917737976414,IIT-JEE,demo_pending,W1,"WARMEST — course bank already built (catalyzers-kota.json); was in template_sent since 07-08. Fastest path to first enrolled."
3,Nucleus coaching,Delhi Mukherjee Nagar,918929114604,Govt/UPSC-adjacent,demo_pending,W2,
4,APEX INSTITUTE,Prayagraj,917985271121,NEET,demo_pending,W2,"Two branches accepted (see #24) — treat as one account, one decision-maker hunt."
5,Mishra Study Point,Lucknow,917275777883,Boards/foundation,demo_pending,W2,
6,Neetwalaz,Hyderabad,916302880992,NEET,demo_pending,W2,
7,Suresh Danis Science Classes,Mumbai Andheri,919892337598,Science 11-12,demo_pending,W3,
8,KUMAR SCIENCE,Pune,917020915231,Science 11-12,demo_pending,W3,
9,InteGrator NEET Coaching,Bengaluru,917899056609,NEET,demo_pending,W2,
10,PCP Jaipur,Jaipur,919610572222,IIT-JEE/NEET,demo_pending,W2,
11,Base Point,Patna,917979919133,NEET,demo_pending,W1,"Patna cluster — same city as MCM, batch the calls."
12,Shikhar Institute,Kota,919828775695,JET/CUET,demo_pending,W2,"Kota cluster with Catalyzers."
13,Tapasya Academy,Delhi Mukherjee Nagar,919999565799,Exam prep,demo_pending,W2,
14,The Science Hub,Prayagraj,916392989878,ICSE/CBSE,demo_pending,W3,
15,Eklavya institute,Lucknow,919918849292,NEET,demo_pending,W2,
16,RANKRIDGE,Hyderabad,919959271353,Junior college/NEET,demo_pending,W3,
17,PACE IIT & Medical,Mumbai Andheri,917700050303,IIT-JEE+NEET,demo_pending,W3,"Possible chain/franchise — verify decision-maker before demo."
18,ASQUARE Medical & IIT-JEE Academy,Pune,919766118877,IIT-JEE+NEET,demo_pending,W2,
19,PUC/KCET/NEET Coaching,Bengaluru,919663513056,PUC/KCET/NEET,demo_pending,W3,
20,NEET JEE Physics Classes,Jaipur,919636702747,Physics NEET/JEE,demo_pending,W2,"Single-subject teacher — ideal ICP (owner = decision maker)."
21,Delta Success Point,Patna,917903454942,Exam prep,demo_pending,W1,"Patna cluster."
22,Physics & Chemistry Coaching,Kota,919509703253,Physics+Chemistry,demo_pending,W2,"Kota cluster; single-subject teacher — ideal ICP."
23,Sigma Institute,Delhi Mukherjee Nagar,919818483491,Exam prep,demo_pending,W3,
24,APEX INSTITUTE Civil Lines Branch,Prayagraj,919918422223,NEET,demo_pending,W3,"Same account as #4 — do NOT run two parallel pitches."
25,Gravity Classes Aliganj,Lucknow,918400002983,Exam prep,demo_pending,W3,
